Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	REF-ID	Phonetic Transcription	Original Transcription (Richard Griscom)	Original Transcription (Yonah Ndege)	Translation	
00:07:52.896	472.896	00:07:54.249	474.249	00:00:01.353	1.353	2018-07-26_Omaiyo_1_01	kùéʃèɲà	kùéshnyá	kyeshinya	one
00:07:57.779	477.779	00:07:58.839	478.839	00:00:01.060	1.06	2018-07-26_Omaiyo_1_02	ìːmɔ́	ìmó		two
00:08:17.307	497.307	00:08:18.331	498.331	00:00:01.024	1.024	2018-07-26_Omaiyo_1_03	káíɲâgè	ǹkányáke	ngainyage	three
00:08:28.771	508.771	00:08:29.831	509.831	00:00:01.060	1.06	2018-07-26_Omaiyo_1_04	 ̀ǹgàgɛ́ːs	ǹgàgéːs	ngages	four
00:10:03.343	603.343	00:10:04.677	604.677	00:00:01.334	1.334	2018-07-26_Omaiyo_1_05	ǹgàlèʃú	ǹgáléshú	ngaleshu	five
00:10:06.834	606.834	00:10:07.602	607.602	00:00:00.768	0.768	2018-07-26_Omaiyo_1_06	ǹgàlèʃú	ǹgáléshú	ngaleshu	five
00:10:11.057	611.057	00:10:12.099	612.099	00:00:01.042	1.042	2018-07-26_Omaiyo_1_07	ǹgàlèʃú	ǹgáléshú	ngaleshu	five
00:11:56.885	716.885	00:11:58.000	718.0	00:00:01.115	1.115	2018-07-26_Omaiyo_1_08	ǹgàlèʃú	ǹgáléshú	ngaleshu	five
00:12:45.236	765.236	00:12:46.588	766.588	00:00:01.352	1.352	2018-07-26_Omaiyo_1_09	ǹgágèlètà	ǹgákélètà	ngagileta	six
00:12:50.470	770.47	00:12:51.530	771.53	00:00:01.060	1.06	2018-07-26_Omaiyo_1_10	ǹgágèlètà	ǹgákélètà	ngagileta	six
00:14:13.037	853.037	00:14:13.750	853.75	00:00:00.713	0.713	2018-07-26_Omaiyo_1_11	ǹgàléʃú	ǹgáléshú	ngaleshu	seven
00:14:15.449	855.449	00:14:16.510	856.51	00:00:01.061	1.061	2018-07-26_Omaiyo_1_12	ǹgàléʃú	ǹgáléshú	ngaleshu	seven
00:17:10.377	1030.377	00:17:11.546	1031.546	00:00:01.169	1.169	2018-07-26_Omaiyo_1_13	gàìgérégènì			nine
