Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	REF-ID	Phonetic Transcription	Original Transcription (Richard Griscom)	Original Transcription (Yonah Ndege)	Translation	
00:10:51.180	651.18	00:10:52.332	652.332	00:00:01.152	1.152	2018-07-26_Omaiyo_2_040	áíndàjàgè	hàíndájágè	aydayage	what
00:10:54.902	654.902	00:10:56.156	656.156	00:00:01.254	1.254	2018-07-26_Omaiyo_2_041	áíndàjàgè	hàíndájágè	aydayage	what
00:11:49.257	709.257	00:11:50.306	710.306	00:00:01.049	1.049	2018-07-26_Omaiyo_2_042	kàíɲà	káíɲà	kainya	this
00:11:51.108	711.108	00:11:52.280	712.28	00:00:01.172	1.172	2018-07-26_Omaiyo_2_043	kàíɲà	káíɲà	kainya	this
00:11:53.473	713.473	00:11:54.562	714.562	00:00:01.089	1.089	2018-07-26_Omaiyo_2_044	kàíɲà	káíɲà	kainya	this
00:11:55.220	715.22	00:11:56.331	716.331	00:00:01.111	1.111	2018-07-26_Omaiyo_2_045	kàíɲà	káíɲà	kainya	this
00:12:25.947	745.947	00:12:27.099	747.099	00:00:01.152	1.152	2018-07-26_Omaiyo_2_046	kìríràndà	kìríràndà	giriranda	not/no
00:12:29.669	749.669	00:12:30.841	750.841	00:00:01.172	1.172	2018-07-26_Omaiyo_2_047	kìríràndà	kìríràndà	giriranda	not/no
00:12:33.781	753.781	00:12:34.892	754.892	00:00:01.111	1.111	2018-07-26_Omaiyo_2_048	kìríràndà	kìríràndà	giriranda	not/no
00:13:11.783	791.783	00:13:12.729	792.729	00:00:00.946	0.946	2018-07-26_Omaiyo_2_049	ŋ̀gɪ́ʃʊ̀mà	ǹgíʃímà	ngishima	horn
00:13:14.477	794.477	00:13:15.649	795.649	00:00:01.172	1.172	2018-07-26_Omaiyo_2_050	ŋ̀gɪ́ʃʊ̀mà	ǹgíʃímà	ngishima	horn
00:13:24.656	804.656	00:13:25.746	805.746	00:00:01.090	1.09	2018-07-26_Omaiyo_2_051	ŋ̀gɪ́ʃʊ̀mà	ǹgíʃímà	ngishima	horn
00:13:26.301	806.301	00:13:27.370	807.37	00:00:01.069	1.069	2018-07-26_Omaiyo_2_052	ŋ̀gɪ́ʃʊ̀mà	ǹgíʃímà	ngishima	horn
00:13:35.286	815.286	00:13:36.746	816.746	00:00:01.460	1.46	2018-07-26_Omaiyo_2_053	ŋ̀gɪ́ʃʊ̀mà	ǹgíʃímà	ngishima	horn
00:14:08.047	848.047	00:14:09.260	849.26	00:00:01.213	1.213	2018-07-26_Omaiyo_2_054	àɲàrtá	àjɲàrtá	anyarta	eat
00:14:10.781	850.781	00:14:11.830	851.83	00:00:01.049	1.049	2018-07-26_Omaiyo_2_055	àɲàrtá	àjɲàrtá	anyarta	eat
00:14:15.140	855.14	00:14:16.004	856.004	00:00:00.864	0.864	2018-07-26_Omaiyo_2_056	àɲàrtá	àjɲàrtá	anyarta	eat
00:14:29.510	869.51	00:14:30.579	870.579	00:00:01.069	1.069	2018-07-26_Omaiyo_2_057	àɲàrtá	àjɲàrtá	anyarta	eat
00:14:33.745	873.745	00:14:34.876	874.876	00:00:01.131	1.131	2018-07-26_Omaiyo_2_058	àɲàrtá	àjɲàrtá	anyarta	eat
00:14:36.048	876.048	00:14:37.344	877.344	00:00:01.296	1.296	2018-07-26_Omaiyo_2_059	àɲàrtá	àjɲàrtá	anyarta	eat
