Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	REF-ID	Phonetic Transcription	Original Transcription (Richard Griscom)	Original Transcription (Yonah Ndege)	Translation	
00:38:26.830	2306.83	00:38:27.673	2307.673	00:00:00.843	0.843	2018-07-26_Omaiyo_2_159	ŋ̀gàwàrstʃá	ǹgàwàstʃó	ngawasha	all
00:38:29.164	2309.164	00:38:30.089	2310.089	00:00:00.925	0.925	2018-07-26_Omaiyo_2_160	ŋ̀gàwàrstʃá	ǹgàwàstʃó	ngawasha	all
00:38:31.981	2311.981	00:38:32.803	2312.803	00:00:00.822	0.822	2018-07-26_Omaiyo_2_161	ŋ̀gàwàrstʃá	ǹgàwàstʃó	ngawasha	all
00:38:36.850	2316.85	00:38:37.734	2317.734	00:00:00.884	0.884	2018-07-26_Omaiyo_2_162	ŋ̀gàwàrstʃá	ǹgàwàstʃó	ngawasha	all
00:38:56.797	2336.797	00:38:57.691	2337.691	00:00:00.894	0.894	2018-07-26_Omaiyo_2_163	kàbwéúbwéú	kàbwóbwó	kabobo	fly (n)
00:38:59.357	2339.357	00:39:00.405	2340.405	00:00:01.048	1.048	2018-07-26_Omaiyo_2_164	kàbwéúbwéú	kàbwóbwó	kabobo	fly (n)
00:39:49.285	2389.285	00:39:50.334	2390.334	00:00:01.049	1.049	2018-07-26_Omaiyo_2_165	mágúɲìrtà	mágúnírtà	mamunyirta	green
00:39:52.926	2392.926	00:39:53.830	2393.83	00:00:00.904	0.904	2018-07-26_Omaiyo_2_166	mágúɲìrtà	mágúnírtà	mamunyirta	green
00:40:41.310	2441.31	00:40:42.379	2442.379	00:00:01.069	1.069	2018-07-26_Omaiyo_2_167	gìmárdádì	gìmárdádì	ngimardadi	new
00:40:43.119	2443.119	00:40:44.332	2444.332	00:00:01.213	1.213	2018-07-26_Omaiyo_2_168	gìmárdádì	gìmárdádì	ngimardadi	new
00:40:45.247	2445.247	00:40:46.152	2446.152	00:00:00.905	0.905	2018-07-26_Omaiyo_2_169	gìmárdádì	gìmárdádì	ngimardadi	new
00:40:51.436	2451.436	00:40:52.588	2452.588	00:00:01.152	1.152	2018-07-26_Omaiyo_2_170	gìmárdádì	gìmárdádì	ngimardadi	new
00:40:53.863	2453.863	00:40:55.004	2455.004	00:00:01.141	1.141	2018-07-26_Omaiyo_2_171	gìmárdádì	gìmárdádì	ngimardadi	new
00:41:52.216	2512.216	00:41:53.358	2513.358	00:00:01.142	1.142	2018-07-26_Omaiyo_2_172	ŋ̀gáúràgè	ǹgáúrágè	ngaordge	that
00:41:54.828	2514.828	00:41:55.907	2515.907	00:00:01.079	1.079	2018-07-26_Omaiyo_2_173	ŋ̀gáúràgè	ǹgáúrágè	ngaordge	that
00:41:58.786	2518.786	00:41:59.752	2519.752	00:00:00.966	0.966	2018-07-26_Omaiyo_2_174	ŋ̀gáúràgè	ǹgáúrágè	ngaordge	that
00:42:05.358	2525.358	00:42:06.098	2526.098	00:00:00.740	0.74	2018-07-26_Omaiyo_2_175	ŋ̀gáúràgè	ǹgáúrágè	ngaordge	that
00:42:06.108	2526.108	00:42:06.849	2526.849	00:00:00.741	0.741	2018-07-26_Omaiyo_2_176	ŋ̀gáúràgè	ǹgáúrágè	ngaordge	that
00:42:21.845	2541.845	00:42:23.068	2543.068	00:00:01.223	1.223	2018-07-26_Omaiyo_2_177	gámédʒò	gámédʒò	ngamejo	dog
00:42:23.685	2543.685	00:42:24.909	2544.909	00:00:01.224	1.224	2018-07-26_Omaiyo_2_178	gámédʒò	gámédʒò	ngamejo	dog
00:42:26.070	2546.07	00:42:26.944	2546.944	00:00:00.874	0.874	2018-07-26_Omaiyo_2_179	gámédʒò	gámédʒò	ngamejo	dog
00:42:29.823	2549.823	00:42:30.851	2550.851	00:00:01.028	1.028	2018-07-26_Omaiyo_2_180	gámédʒò	gámédʒò	ngamejo	dog
00:42:55.294	2575.294	00:42:56.209	2576.209	00:00:00.915	0.915	2018-07-26_Omaiyo_2_181	háːndà	hándà	handa	hair
00:42:57.063	2577.063	00:42:57.957	2577.957	00:00:00.894	0.894	2018-07-26_Omaiyo_2_182	háːndà	hándà	handa	hair
00:42:58.816	2578.816	00:42:59.345	2579.345	00:00:00.529	0.529	2018-07-26_Omaiyo_2_183	háːndà	hándà	handa	hair
00:43:03.591	2583.591	00:43:04.270	2584.27	00:00:00.679	0.679	2018-07-26_Omaiyo_2_184	háːndà	hándà	handa	hair
00:43:04.301	2584.301	00:43:04.876	2584.876	00:00:00.575	0.575	2018-07-26_Omaiyo_2_185	háːndà	hándà	handa	hair
00:43:28.406	2608.406	00:43:29.352	2609.352	00:00:00.946	0.946	2018-07-26_Omaiyo_2_186	kʷàŋèréʃ	qɔɲɛrɛʃ	qong'eresh	swim
00:43:30.534	2610.534	00:43:31.490	2611.49	00:00:00.956	0.956	2018-07-26_Omaiyo_2_187	kʷàŋèréʃ	qɔɲɛrɛʃ	qong'eresh	swim
00:43:32.970	2612.97	00:43:33.968	2613.968	00:00:00.998	0.998	2018-07-26_Omaiyo_2_188	kʷàŋèréʃ	qɔɲɛrɛʃ	qong'eresh	swim
00:43:34.050	2614.05	00:43:34.852	2614.852	00:00:00.802	0.802	2018-07-26_Omaiyo_2_189	kʷàŋèréʃ	qɔɲɛrɛʃ	qong'eresh	swim
00:45:34.869	2734.869	00:45:35.846	2735.846	00:00:00.977	0.977	2018-07-26_Omaiyo_2_190	kàrlàbá	qwalaba	qowlaba	red
00:45:37.594	2737.594	00:45:38.622	2738.622	00:00:01.028	1.028	2018-07-26_Omaiyo_2_191	kàrːlàbá	qwalaba	qowlaba	red
00:45:41.840	2741.84	00:45:42.786	2742.786	00:00:00.946	0.946	2018-07-26_Omaiyo_2_192	kàrːlàbá	qwalaba	qowlaba	red
00:45:45.545	2745.545	00:45:46.542	2746.542	00:00:00.997	0.997	2018-07-26_Omaiyo_2_193	kàrːlàbá	qwalaba	qowlaba	red
