English Translation,Reliability Rating,"Richard Griscom (2018, female speaker)","Yonah Ndege (2018, female speaker)","Richard Griscom (2018, male speakers)","Yonah Ndege (2018, male speakers)",Daudi Peterson (2018),Paulo Parana (2018),Alina (2018),Olewanga (2017),Daudi (2014),Dismas (2014),Bunga (2014),Sands (2014),Daudi (2012)
stomach,1,,,,,,,,,kelepta,keleputa,kereta,[kɪlɪb̥ta]    ,
head,4,ǹdóqwét(a),ndoqweyt,,,ndokoyata,ndokuyata,,,ndokweasa,ndokoyata,ngogweyata,[ndoɣwe.asa]   ,ndokoiata
"knife, small knife",3,pénétà,peneytha,,,peneeta,peneita,,,,,,,peneyta
spear,1,pèrétá,pereyta,,,,,,,,,,,
large knife,2,,,,,peneeta hok,,,,,,,,peneyta hawako
sun,3,,,,,beleka or onaisa,,,,onaisa,onaisa,,[hona.esa],onaisa
sun,1,kòɲéta,gunyarta,,,,,,,,,,,
young boy(s),3,,,,,oreka or wareka,oreka,hoareka or wareka,oreka,,,,,horeka
boys,1,,,,,,,,shoronika,,,,,
young girl s.& pl.,3,,,,,haiyaka,hayaka,hayaka,ayaka,,,,,haiyaka
"mother, older woman, female",4,maijo,oyomayo,,,maiyu,,mayu,,maiyo,maayio,amayu,[ma.ɪ.jʊ],omaiyu
"mother, older woman",1,,,,,,,,,,,,,ohaitandaa
ma,4,,,,,lasaka,aleseka,lasaka ,alasaka,"alasaka, alasaka” wife”","alasaka, alasaka” wife”","alasaka, alasaka” wife”",[aˈlasaka],olaseka
older man,1,,,,,,,,,,,,,
I like it,,,,,,nenga'anyor,,ninga anyor,,,,,,
vulture all spp s.&pl.,1,,,,,sakeri nderit,sakeri idariti,saakeri nderiti,,,,,,
one,2,kùéshnyá,kyeshinya,,,,,,,kueshenya,kueshenya,kuweshenya,[ku.e.ʃe.ɲa],
one,1,"éjímô / ájímô, àjímò “one (elephant”)",ayimo. ayimo “one (elephant”),,,,,,,,,,,
one,1,,,,,kaloshi,,kaloshi,,,,,,
two,1,ìmó,imo,,,,,,,,,,,
two,2,"ǹgàgéér, àjìmò ǹgágèʃ ","ngageth, ayimo ngagesh “two elephants” or possibly “one two”",,,,,,,ngakeet,ngakeet,ngaket,[ŋɡakɛːɲ],
two,1,,,,,kueshenya,,kweshenya,,,,,,
three,2,,,,,haimo,,aimo,,ma'imo,maimo,maimo,[ma.i.mʊ],
three,1,ǹkányáke,ngainyage,,,,,,,,,,,
four,2,ǹgàgéːs,ngages,,,ngakeet,,ngakeeto,,,,,,
four,1,,,,,,,,,ndaharimo,ndaarimo,ndahalimo,[ndahaːrimo],
five,2,ǹgáléshú,ngaleshu,,,kaleshu,,kaleshu,,,,,,
six,1,ǹgákélètà,ngagileta,,,,,,,,,,,
tongue,1,ǹqáɲókè,nqanyoge,,,,,,,,,,,
tongue,1,,,,,ndaharimo,,ndah'arimo,,,,,,
tongue,1,,,,,,,,,wa'itamu,waitamu,waetamo,[wa.i.tamʊ] (w ~ h),
where have you come from?,1,,,,,anjinyi hanokia (have you come; where),,anjinyi anukea,,,,,,
leg s.&pl.,3,héldà,helda,,,helda,,helda,,helta,elta,herita,[helda or helɾɾa],
leg s.&pl.,1,,,,,,,,,,,,,uhayameta
hands/arms s.& pl.,3,bànáktà,banakta,,,panata,,panata,,panaita,panaita,fanaita,[paˈna.itʰa],
hands/arms s.& pl.,1,,,,,,,,,,,,,hamata
